87,number of data points
Sw                 ,Pc (Pa) (draincycle 1)    ,Krw (draincycle 1)        ,Kro (draincycle 1)        
  1.000000,             0.000000e+000,             1.000000e+000,             0.000000e+000,           
  0.989036,             2.019400e+003,             9.557587e-001,             0.000000e+000,           
  0.977986,             2.604881e+003,             9.113230e-001,             0.000000e+000,           
  0.967873,             2.849493e+003,             8.674183e-001,             0.000000e+000,           
  0.955953,             3.047466e+003,             8.248084e-001,             0.000000e+000,           
  0.943612,             3.185604e+003,             7.958074e-001,             0.000000e+000,           
  0.931064,             3.185604e+003,             7.561500e-001,             0.000000e+000,           
  0.918503,             3.232270e+003,             7.337704e-001,             0.000000e+000,           
  0.907021,             3.252389e+003,             7.115121e-001,             0.000000e+000,           
  0.895628,             3.280020e+003,             6.349752e-001,             0.000000e+000,           
  0.882242,             3.280020e+003,             5.360758e-001,             0.000000e+000,           
  0.870037,             3.280020e+003,             5.197855e-001,             0.000000e+000,           
  0.856329,             3.280020e+003,             4.970232e-001,             0.000000e+000,           
  0.841806,             3.280020e+003,             4.711712e-001,             0.000000e+000,           
  0.831015,             3.280020e+003,             4.524482e-001,             0.000000e+000,           
  0.820720,             3.280020e+003,             4.468964e-001,             0.000000e+000,           
  0.809607,             3.280020e+003,             4.410280e-001,             0.000000e+000,           
  0.784467,             3.280020e+003,             4.276706e-001,             0.000000e+000,           
  0.773726,             3.280020e+003,             4.203854e-001,             0.000000e+000,           
  0.758627,             3.280020e+003,             4.135209e-001,             2.253159e-002,           
  0.744187,             3.296110e+003,             3.967787e-001,             2.268409e-002,           
  0.730965,             3.355628e+003,             3.546983e-001,             2.467340e-002,           
  0.715013,             3.408892e+003,             3.370958e-001,             2.919869e-002,           
  0.704993,             3.408892e+003,             3.332843e-001,             2.924489e-002,           
  0.693955,             3.408892e+003,             3.247194e-001,             2.924692e-002,           
  0.678206,             3.408892e+003,             2.966927e-001,             2.924692e-002,           
  0.664532,             3.408892e+003,             2.901690e-001,             2.924692e-002,           
  0.651577,             3.408892e+003,             2.822850e-001,             2.958547e-002,           
  0.638548,             3.408892e+003,             2.630420e-001,             2.963408e-002,           
  0.625048,             3.447819e+003,             2.508042e-001,             3.772594e-002,           
  0.615025,             3.447819e+003,             2.409916e-001,             3.772594e-002,           
  0.604337,             3.447819e+003,             2.246371e-001,             3.772594e-002,           
  0.593123,             3.447819e+003,             2.073386e-001,             3.772594e-002,           
  0.580919,             3.447819e+003,             2.034974e-001,             3.772594e-002,           
  0.570900,             3.447819e+003,             1.983080e-001,             3.772594e-002,           
  0.560400,             3.447819e+003,             1.920972e-001,             3.772594e-002,           
  0.549288,             3.447819e+003,             1.883150e-001,             3.772594e-002,           
  0.537956,             3.447819e+003,             1.835308e-001,             3.772594e-002,           
  0.527323,             3.488680e+003,             1.749751e-001,             4.589391e-002,           
  0.515653,             3.505427e+003,             1.672330e-001,             4.653126e-002,           
  0.499761,             3.536970e+003,             1.588616e-001,             6.672318e-002,           
  0.489639,             3.633876e+003,             1.494284e-001,             7.805931e-002,           
  0.478752,             3.642072e+003,             1.437160e-001,             7.880319e-002,           
  0.468676,             3.664630e+003,             1.374950e-001,             7.900410e-002,           
  0.457390,             3.708936e+003,             1.302507e-001,             8.175705e-002,           
  0.446752,             3.756359e+003,             1.232053e-001,             8.281234e-002,           
  0.436271,             3.763280e+003,             1.189856e-001,             8.446369e-002,           
  0.426266,             3.807972e+003,             1.130631e-001,             9.315448e-002,           
  0.414891,             3.837208e+003,             1.070781e-001,             1.172960e-001,           
  0.403261,             3.837208e+003,             1.016875e-001,             1.172960e-001,           
  0.392505,             3.837208e+003,             9.843323e-002,             1.172960e-001,           
  0.382144,             3.837208e+003,             7.938289e-002,             1.172960e-001,           
  0.368068,             3.845587e+003,             7.417597e-002,             1.185809e-001,           
  0.357782,             3.880479e+003,             6.879320e-002,             1.239126e-001,           
  0.347534,             3.920970e+003,             6.544696e-002,             1.249320e-001,           
  0.336954,             3.947918e+003,             6.305604e-002,             1.252260e-001,           
  0.326094,             4.000042e+003,             5.986338e-002,             1.315999e-001,           
  0.313728,             4.066681e+003,             5.612272e-002,             1.588594e-001,           
  0.303493,             4.104545e+003,             5.338118e-002,             1.610204e-001,           
  0.292838,             4.145582e+003,             5.053718e-002,             1.739405e-001,           
  0.271861,             4.203028e+003,             4.196570e-002,             1.871927e-001,           
  0.261509,             4.280684e+003,             3.879501e-002,             2.387172e-001,           
  0.242466,             4.379555e+003,             3.366878e-002,             2.742463e-001,           
  0.231692,             4.452666e+003,             2.977284e-002,             2.891656e-001,           
  0.221379,             4.518000e+003,             2.662939e-002,             3.125113e-001,           
  0.210460,             4.527641e+003,             2.469410e-002,             3.163743e-001,           
  0.198578,             4.585531e+003,             2.247121e-002,             3.250111e-001,           
  0.187735,             4.666527e+003,             2.024546e-002,             3.358017e-001,           
  0.177303,             4.701593e+003,             1.916084e-002,             3.426838e-001,           
  0.166799,             4.812308e+003,             1.735658e-002,             3.613388e-001,           
  0.155562,             4.922847e+003,             1.558382e-002,             3.923473e-001,           
  0.145134,             5.035116e+003,             1.386112e-002,             4.200397e-001,           
  0.134937,             5.127472e+003,             1.259672e-002,             4.332906e-001,           
  0.124309,             5.330417e+003,             1.056819e-002,             4.738675e-001,           
